"ID","data.city","data.id","data.devices","data.functionality","data.latitude","data.longitude","data.streetAddress","data.storeType","data.zip"
"Geldmaat_Locatie_IDs_V2","Amsterdam","1011001","list(deviceState = c(""Available"", ""Available"", ""Available""), audioGuidance = c(FALSE, TRUE, TRUE), city = c(""Amsterdam"", ""Amsterdam"", ""Amsterdam""), depositStatus = c(FALSE, TRUE, FALSE), functionality = c(""Sealbag-automaat"", ""Geld storten en opnemen"", ""Geldautomaat""), geldmaatPlus = c(FALSE, FALSE, FALSE), id = c(""611057"", ""811798"", ""920366""), latitude = c(52.36879, 52.36879, 52.36879), location = c(""1011001"", ""1011001"", ""1011001""), longitude = c(4.90256, 4.90256, 4.90256), openingHours = list(tu = list(
    ""07:00-23:00"", ""07:00-23:00"", ""07:00-23:00""), mo = list(""07:00-23:00"", ""07:00-23:00"", ""07:00-23:00""), su = list(""07:00-23:00"", ""07:00-23:00"", ""07:00-23:00""), th = list(""07:00-23:00"", ""07:00-23:00"", ""07:00-23:00""), fr = list(""07:00-23:00"", ""07:00-23:00"", ""07:00-23:00""), we = list(""07:00-23:00"", ""07:00-23:00"", ""07:00-23:00""), sa = list(""07:00-23:00"", ""07:00-23:00"", ""07:00-23:00"")), storeType = c(""n/a"", ""n/a"", ""n/a""), streetAddress = c(""Jodenbreestraat 96- 102"", ""Jodenbreestraat 96- 102"", ""Jodenbreestraat 96- 102""
), withdrawableDenominations = list(""none"", ""none"", ""none""), zip = c(""1011NS"", ""1011NS"", ""1011NS""))","c(""Geld storten en opnemen"", ""Sealbag-automaat"", ""Geldautomaat"")",52.36879,4.90256,"Jodenbreestraat 96- 102","n/a","1011NS"
"Geldmaat_Locatie_IDs_V2","Amsterdam","1011002","list(deviceState = ""Available"", audioGuidance = TRUE, city = ""Amsterdam"", depositStatus = FALSE, functionality = ""Geldautomaat"", geldmaatPlus = FALSE, id = ""911448"", latitude = 52.368948, location = ""1011002"", longitude = 4.903362, openingHours = list(tu = list(""07:00-22:00""), mo = list(""07:00-22:00""), su = list(""08:00-22:00""), th = list(""07:00-22:00""), fr = list(""07:00-22:00""), we = list(""07:00-22:00""), sa = list(""08:00-22:00"")), storeType = ""albertheijn"", streetAddress = ""Jodenbreestraat 21"", withdrawableDenominations = list(
    ""none""), zip = ""1011NH"")","Geldautomaat",52.368948,4.9033620000000004,"Jodenbreestraat 21","albertheijn","1011NH"
"Geldmaat_Locatie_IDs_V2","Amsterdam","1011003","list(deviceState = ""Available"", audioGuidance = TRUE, city = ""Amsterdam"", depositStatus = FALSE, functionality = ""Geldautomaat"", geldmaatPlus = FALSE, id = ""910117"", latitude = 52.376087, location = ""1011003"", longitude = 4.906754, openingHours = list(tu = list(""08:00-22:00""), mo = list(""08:00-22:00""), su = list(""08:00-22:00""), th = list(""08:00-22:00""), fr = list(""08:00-22:00""), we = list(""08:00-22:00""), sa = list(""08:00-22:00"")), storeType = ""albertheijn"", streetAddress = ""Oosterdokskade 65"", withdrawableDenominations = list(
    ""none""), zip = ""1011DL"")","Geldautomaat",52.376087,4.906754,"Oosterdokskade 65","albertheijn","1011DL"
"Geldmaat_Locatie_IDs_V2","Amsterdam","1012001","list(deviceState = ""Available"", audioGuidance = TRUE, city = ""Amsterdam"", depositStatus = TRUE, functionality = ""Geld storten en opnemen"", geldmaatPlus = FALSE, id = ""812212"", latitude = 52.37329, location = ""1012001"", longitude = 4.89372, openingHours = list(tu = list(""10:00-21:00""), mo = list(""11:00-21:00""), su = list(""10:00-20:00""), th = list(""10:00-21:00""), fr = list(""10:00-21:00""), we = list(""10:00-21:00""), sa = list(""10:00-21:00"")), storeType = ""generic"", streetAddress = ""Dam 1"", withdrawableDenominations = list(
    ""none""), zip = ""1012LP"")","Geld storten en opnemen",52.37329,4.89372,"Dam 1","generic","1012LP"
"Geldmaat_Locatie_IDs_V2","Amsterdam","1012002","list(deviceState = ""Available"", audioGuidance = TRUE, city = ""Amsterdam"", depositStatus = FALSE, functionality = ""Geld storten en opnemen"", geldmaatPlus = FALSE, id = ""810363"", latitude = 52.373942, location = ""1012002"", longitude = 4.893735, openingHours = list(tu = list(""07:00-23:00""), mo = list(""07:00-23:00""), su = list(""07:00-23:00""), th = list(""07:00-23:00""), fr = list(""07:00-23:00""), we = list(""07:00-23:00""), sa = list(""07:00-23:00"")), storeType = ""n/a"", streetAddress = ""Damrak 90"", withdrawableDenominations = list(
    ""none""), zip = ""1012LP"")","Geld storten en opnemen",52.373942,4.893735,"Damrak 90","n/a","1012LP"
"Geldmaat_Locatie_IDs_V2","AMSTERDAM","1012006","list(deviceState = ""Available"", audioGuidance = FALSE, city = ""AMSTERDAM"", depositStatus = FALSE, functionality = ""Geldautomaat"", geldmaatPlus = FALSE, id = ""914201"", latitude = 52.37603, location = ""1012006"", longitude = 4.89651, openingHours = list(tu = list(""07:00-23:00""), mo = list(""07:00-23:00""), su = list(""07:00-23:00""), th = list(""07:00-23:00""), fr = list(""07:00-23:00""), we = list(""07:00-23:00""), sa = list(""07:00-23:00"")), storeType = ""n/a"", streetAddress = ""DAMRAK 33"", withdrawableDenominations = list(
    ""none""), zip = ""1012LK"")","Geldautomaat",52.37603,4.89651,"DAMRAK 33","n/a","1012LK"
"Geldmaat_Locatie_IDs_V2","Amsterdam","1012007","list(deviceState = ""Available"", audioGuidance = TRUE, city = ""Amsterdam"", depositStatus = FALSE, functionality = ""Geldautomaat"", geldmaatPlus = FALSE, id = ""910127"", latitude = 52.378561, location = ""1012007"", longitude = 4.896185, openingHours = list(tu = list(""08:00-22:00""), mo = list(""08:00-22:00""), su = list(""08:00-22:00""), th = list(""08:00-22:00""), fr = list(""08:00-22:00""), we = list(""08:00-22:00""), sa = list(""08:00-22:00"")), storeType = ""albertheijn"", streetAddress = ""Prins Hendrikkade 20"", 
    withdrawableDenominations = list(""none""), zip = ""1012TL"")","Geldautomaat",52.378561,4.896185,"Prins Hendrikkade 20","albertheijn","1012TL"
"Geldmaat_Locatie_IDs_V2","Amsterdam","1012009","list(deviceState = ""Available"", audioGuidance = TRUE, city = ""Amsterdam"", depositStatus = FALSE, functionality = ""Geldautomaat"", geldmaatPlus = FALSE, id = ""910121"", latitude = 52.372652, location = ""1012009"", longitude = 4.890222, openingHours = list(tu = list(""07:00-22:00""), mo = list(""07:00-22:00""), su = list(""07:00-22:00""), th = list(""07:00-22:00""), fr = list(""07:00-22:00""), we = list(""07:00-22:00""), sa = list(""07:00-22:00"")), storeType = ""albertheijn"", streetAddress = ""Nieuwezijds Voorburgwal 226"", 
    withdrawableDenominations = list(""none""), zip = ""1012RR"")","Geldautomaat",52.372652,4.890222,"Nieuwezijds Voorburgwal 226","albertheijn","1012RR"
"Geldmaat_Locatie_IDs_V2","Amsterdam","1012010","list(deviceState = ""Available"", audioGuidance = FALSE, city = ""Amsterdam"", depositStatus = FALSE, functionality = ""Geldautomaat"", geldmaatPlus = FALSE, id = ""911433"", latitude = 52.372649, location = ""1012010"", longitude = 4.89964, openingHours = list(tu = list(""07:00-23:00""), mo = list(""07:00-23:00""), su = list(""07:00-23:00""), th = list(""07:00-23:00""), fr = list(""07:00-23:00""), we = list(""07:00-23:00""), sa = list(""07:00-23:00"")), storeType = ""n/a"", streetAddress = ""Nieuwmarkt 20"", withdrawableDenominations = list(
    ""none""), zip = ""1012CR"")","Geldautomaat",52.372649,4.89964,"Nieuwmarkt 20","n/a","1012CR"
"Geldmaat_Locatie_IDs_V2","Amsterdam","1012013","list(deviceState = c(""Available"", ""Available"", ""Available""), audioGuidance = c(FALSE, TRUE, FALSE), city = c(""Amsterdam"", ""Amsterdam"", ""Amsterdam""), depositStatus = c(FALSE, TRUE, FALSE), functionality = c(""Geldautomaat"", ""Geld storten en opnemen"", ""Sealbag-automaat""), geldmaatPlus = c(FALSE, FALSE, FALSE), id = c(""914711"", ""812414"", ""611347""), latitude = c(52.373393, 52.373393, 52.373393), location = c(""1012013"", ""1012013"", ""1012013""), longitude = c(4.8928, 4.8928, 4.8928), openingHours = list(tu = list(
    ""07:00-23:00"", ""07:00-23:00"", ""07:00-23:00""), mo = list(""07:00-23:00"", ""07:00-23:00"", ""07:00-23:00""), su = list(""07:00-23:00"", ""07:00-23:00"", ""07:00-23:00""), th = list(""07:00-23:00"", ""07:00-23:00"", ""07:00-23:00""), fr = list(""07:00-23:00"", ""07:00-23:00"", ""07:00-23:00""), we = list(""07:00-23:00"", ""07:00-23:00"", ""07:00-23:00""), sa = list(""07:00-23:00"", ""07:00-23:00"", ""07:00-23:00"")), storeType = c(""n/a"", ""n/a"", ""n/a""), streetAddress = c(""Dam 2"", ""Dam 2"", ""Dam 2""), withdrawableDenominations = list(
    ""none"", ""none"", ""none""), zip = c(""1012NP"", ""1012NP"", ""1012NP""))","c(""Geldautomaat"", ""Geld storten en opnemen"", ""Sealbag-automaat"")",52.373393,4.8928,"Dam 2","n/a","1012NP"
